IssueID,RelatedPrID,IssueCategory,Participants,IsMPLF,SentimentScore
1229,[2645],Algorithm design bug,3,0,1.0
1381,[2961],Algorithm design bug,1,0,0.0
1450,[1454],Version compatibility bug,3,1,2.25
1653,[2960],Data bug,4,1,0.3333333333333333
4549,[4563],Version compatibility bug,4,0,-0.16666666666666666
4648,[4656],Version compatibility bug,1,0,-1.0
5025,[43308],Code bug,4,0,1.6
5047,[5048],Data bug,1,0,3.0
5602,[6086],Version compatibility bug,3,0,0.2
6975,[6993],Code bug,2,0,1.25
7568,7934,Version compatibility bug,1,1,0.0
7818,8345,Code bug,4,1,0.3333333333333333
7884,[8596],Algorithm design bug,2,0,0.375
7956,[7973],Data bug,4,0,-0.6666666666666666
8111,[8161],Processor bug,3,1,2.0
10532,[23502],Algorithm design bug,4,1,-0.5555555555555556
17357,[23030],Processor bug,7,1,-0.4117647058823529
17531,[20445],Deployment bug,4,1,-0.18181818181818182
17843,[20679],Data bug,2,0,0.0
17893,[25349],Algorithm design bug,3,0,1.8
18133,[61056],Code bug,10,0,-0.13636363636363635
18215,[23298],Algorithm design bug,4,1,0.23076923076923078
18275,[21022],Data bug,5,1,0.5833333333333334
18657,[23408],Code bug,5,0,0.0
18853,[35214],Memory bug,11,0,0.2
19227,[32598],Deployment bug,5,0,-0.4
19351,[21888],Version compatibility bug,3,0,0.0
19363,20190,Deployment bug,2,0,-0.08333333333333333
19394,[22405],Deployment bug,4,0,-0.5833333333333334
19462,[21437],Code bug,2,0,0.0
19540,[20910],Processor bug,5,0,0.5555555555555556
19961,[20018],Algorithm design bug,3,0,2.6666666666666665
20017,[20386],Deployment bug,9,1,0.2
20030,[20228],Build bug,20,0,0.3
20130,[20176],Version compatibility bug,1,0,0.0
20132,[20177],Algorithm design bug,4,0,0.75
20178,[23297],Code bug,2,0,3.0
20408,[20490],Version compatibility bug,2,0,0.0
20465,[23161],Algorithm design bug,4,1,0.875
20522,[20971],Processor bug,3,1,1.1666666666666667
20523,[20581],Algorithm design bug,1,0,-2.0
20525,[21007],Build bug,3,0,0.3333333333333333
20630,[20882],Version compatibility bug,11,0,0.08333333333333333
20635,[21062],Processor bug,3,0,-0.1
20642,[20853],Build bug,4,0,1.1428571428571428
20651,[20658],Processor bug,2,1,0.0
20823,[20952],Version compatibility bug,3,1,0.3333333333333333
20888,[20919],Data bug,4,1,0.8333333333333334
20972,[66441],Algorithm design bug,4,1,0.0
20978,[21071],Code bug,3,0,0.0
21044,[23321],Documentation bug,3,0,1.6666666666666667
21076,[23484],Memory bug,4,1,1.0
21108,[21197],Version compatibility bug,2,0,0.0
21167,[21248],Build bug,4,0,-0.2857142857142857
21261,[21285],Test bug,3,0,2.0
21266,[21782],Data bug,5,1,0.5
21269,[21458],Version compatibility bug,2,0,1.0
21406,[23433],Memory bug,6,0,1.4285714285714286
21418,[21424],Code bug,1,0,0.0
21584,[21599],Code bug,2,0,4.0
21706,[22182],Code bug,4,0,0.9230769230769231
21710,[22007],Version compatibility bug,2,0,0.0
21737,[49458],Build bug,10,0,-0.08823529411764706
21922,[22446],Processor bug,2,0,0.3333333333333333
22072,[22111],Algorithm design bug,3,0,0.5714285714285714
22192,[22248],Processor bug,4,1,0.5
22301,[25998],Data bug,5,1,-0.08571428571428572
22389,[23023],Visualization bug,4,0,0.0
22529,[22533],Processor bug,1,1,3.0
22534,[34454],Deployment bug,1,0,0.0
22538,[24815],Processor bug,4,0,0.1111111111111111
22570,[22579],Build bug,2,0,2.5
22581,[22730],Processor bug,2,1,0.75
22615,[25139],Data bug,2,1,1.0
22710,[23043],Processor bug,4,1,0.42857142857142855
22745,[32719],Build bug,5,1,0.13333333333333333
22753,[23717],Data bug,2,1,1.5
22832,[22841],Code bug,3,1,0.4
22833,[23372],Algorithm design bug,2,1,-0.5
22963,[25406],Data bug,8,1,0.4444444444444444
22970,[23017],Data bug,7,0,0.4444444444444444
23039,[23368],Build bug,6,0,0.5652173913043478
23393,[23504],Data bug,9,1,0.9230769230769231
23401,[29101],Processor bug,7,1,1.0
23480,[23833],Algorithm design bug,3,0,-0.2
23545,[23552],Algorithm design bug,3,1,0.5
23580,[23591],Performance bug,3,1,0.5555555555555556
23603,[23766],Data bug,2,1,5.0
23642,[23646],Performance bug,1,0,0.0
23731,[38067],Algorithm design bug,3,0,1.25
23925,[32829],Processor bug,3,1,0.0
23947,[24190],Code bug,1,0,0.0
24073,[24143],Version compatibility bug,2,0,0.75
24088,[24148],Processor bug,4,1,1.0909090909090908
24137,[41959],Processor bug,7,1,0.0
24164,24218,Deployment bug,2,0,-1.0
24173,[28561],Deployment bug,3,0,-0.07142857142857142
24200,[24267],Memory bug,3,0,1.6666666666666667
24239,[24271],Deployment bug,2,1,0.3333333333333333
24334,[28779],Build bug,7,0,0.3125
24403,[24438],Processor bug,4,1,0.8
24806,[24895],Code bug,1,0,2.0
24853,[25594],Version compatibility bug,4,1,1.1666666666666667
25010,[25111],Memory bug,3,0,0.375
25172,[25773],Test bug,5,1,0.4
25214,[25279],Deployment bug,6,0,0.09090909090909091
25293,[25346],Code bug,2,0,1.5
25399,[25586],Data bug,4,0,0.13333333333333333
25694,[25777],Test bug,1,0,3.0
25805,[28439],Deployment bug,2,0,0.5
26032,[26697],Test bug,2,0,0.0
26076,[26254],Algorithm design bug,2,1,-0.2857142857142857
26302,[27731],Processor bug,3,1,0.25
26437,[26443],Deployment bug,2,1,-0.2
26596,[45595],Algorithm design bug,6,0,-0.2857142857142857
26792,27163,Deployment bug,2,1,-0.3333333333333333
26884,[27109],Deployment bug,5,1,-0.631578947368421
26998,[27125],Deployment bug,4,1,-0.8
27442,[27460],Algorithm design bug,2,1,2.8
27495,[31269],Deployment bug,3,1,-0.2
27512,30493,Deployment bug,4,1,0.6842105263157895
27551,[32493],Deployment bug,13,0,0.13333333333333333
27569,[31928],Deployment bug,13,1,0.0
27605,27606,Algorithm design bug,2,0,1.6
27627,[29384],Version compatibility bug,7,0,-0.14705882352941177
27737,[27821],Test bug,1,0,2.0
27820,[27966],Build bug,5,0,0.5
27844,[27960],Deployment bug,2,0,1.6
28009,27967,Test bug,1,0,0.0
28216,[28217],Algorithm design bug,3,0,1.0
28280,[36546],Deployment bug,2,0,0.0
28418,[61274],Deployment bug,9,0,0.07142857142857142
28457,[28578],Test bug,5,0,0.42857142857142855
28575,[28637],Algorithm design bug,4,1,0.3333333333333333
29035,[35409],Deployment bug,2,1,0.5
29058,[29273],Build bug,3,0,-0.25
29187,[29985],Algorithm design bug,2,0,-0.75
29744,[32763],Algorithm design bug,4,1,0.14285714285714285
29906,[31544],Visualization bug,1,1,2.0
30512,[30751],Deployment bug,6,0,0.29411764705882354
30562,[30577],Memory bug,2,1,1.6666666666666667
30572,[30838],Algorithm design bug,4,1,0.4
30708,[31115],Documentation bug,4,0,0.0
30932,[30959],Build bug,3,0,-0.5714285714285714
31108,[31704],Test bug,4,0,0.25
31198,[31199],Code bug,2,1,-0.6666666666666666
31271,[31279],Performance bug,3,0,2.0
31283,[40399],Build bug,7,0,0.3076923076923077
31412,[31861],Data bug,4,0,-0.5
31515,[31694],Algorithm design bug,3,1,0.7
31611,[34288],Build bug,5,1,0.07142857142857142
31650,[32473],Test bug,4,0,-0.8
31672,[31692],Processor bug,2,1,0.0
31680,[31873],Algorithm design bug,1,0,3.0
31690,[46290],Performance bug,2,1,0.3333333333333333
31734,[32350],Data bug,2,1,0.0
31771,[32951],Data bug,5,0,0.125
31944,[32844],Deployment bug,4,0,0.4
32001,[32862],Processor bug,3,1,0.2857142857142857
32008,[32875],Memory bug,6,0,0.6666666666666666
32082,[32318],Processor bug,3,0,0.5555555555555556
32139,[32146],Deployment bug,1,0,0.0
32234,32367,Code bug,2,0,-0.5
32284,[36479],Memory bug,10,1,-0.2608695652173913
32289,[33824],Version compatibility bug,6,0,-0.3333333333333333
32414,[34463],Documentation bug,2,0,1.0
32481,[32617],Code bug,2,0,2.6666666666666665
32519,[36830],Deployment bug,8,0,0.18181818181818182
32520,[34586],Algorithm design bug,6,1,0.27586206896551724
32645,[33271],Algorithm design bug,2,0,1.5
32756,[32848],Algorithm design bug,2,0,-0.5
32960,[79103],Deployment bug,15,1,0.1
32983,[41986],Build bug,6,0,0.2857142857142857
33001,[33456],Data bug,4,0,-0.1111111111111111
33143,[34407],Memory bug,5,0,0.07692307692307693
33203,[33230],Build bug,3,0,1.0
33229,[33356],Algorithm design bug,2,0,1.25
33345,[33753],Algorithm design bug,1,1,0.0
33384,[59404],Documentation bug,4,0,0.0
33422,[33432],Processor bug,1,1,-1.0
33439,[34059],Deployment bug,5,1,-0.20689655172413793
33467,[33538],Data bug,1,1,5.0
33485,[35594],Processor bug,2,0,2.0
33552,[33907],Version compatibility bug,2,0,2.0
33562,[34301],Processor bug,3,0,0.5714285714285714
33694,[33718],Code bug,2,0,2.5
33698,[33748],Code bug,1,0,3.0
33699,[33747],Documentation bug,2,0,1.0
33751,[34418],Processor bug,3,1,0.375
33757,[34299],Test bug,5,0,1.0
33801,[33428],Algorithm design bug,4,0,1.75
33899,[34019],Processor bug,7,0,0.1111111111111111
33909,[60230],Algorithm design bug,1,0,0.0
33928,[37310],Code bug,4,0,0.125
33941,[36431],Algorithm design bug,4,1,0.23076923076923078
33986,[35016],Visualization bug,3,0,-1.0
34028,[35952],Visualization bug,5,0,-0.42857142857142855
34054,[45584],Deployment bug,5,1,0.8888888888888888
34061,[35136],Processor bug,1,1,1.0
34191,[35253],Algorithm design bug,2,1,-1.0
34202,[36983],Processor bug,3,0,0.2
34272,[58217],Performance bug,6,0,-0.12121212121212122
34344,[34358],Algorithm design bug,1,0,0.0
34415,[34448],Build bug,1,0,-1.0
34525,[34548],Processor bug,3,0,0.4444444444444444
34551,[35219],Data bug,4,1,0.3333333333333333
34585,[37326],Deployment bug,4,0,0.2857142857142857
34714,[34900],Memory bug,4,0,1.6
34800,[36894],Deployment bug,5,1,0.14285714285714285
34907,[52565],Data bug,6,1,-0.1111111111111111
34964,[36030],Memory bug,2,1,-1.0
35014,[35030],Data bug,10,1,0.5348837209302325
35045,[35053],Processor bug,4,1,0.5
35202,[35506],Memory bug,3,1,-0.14285714285714285
35532,[35715],Data bug,4,1,0.75
35565,[37088],Deployment bug,3,1,0.25
35778,[35929],Data bug,2,1,-0.75
35810,36786,Algorithm design bug,2,0,0.3333333333333333
35901,[44742],Memory bug,10,1,-0.05128205128205128
35948,[36016],Deployment bug,4,1,0.625
36176,[38925],Data bug,3,0,1.5
36455,[46486],Algorithm design bug,7,0,0.3333333333333333
36493,[45720],Algorithm design bug,8,1,0.23809523809523808
36594,[36714],Processor bug,2,0,1.5
36798,[36837],Version compatibility bug,2,1,0.0
36831,[37347],Algorithm design bug,3,0,1.6
36902,[37140],Deployment bug,3,0,1.0
36941,[39375],Build bug,13,1,-0.2857142857142857
36977,[41368],Algorithm design bug,6,1,-0.2857142857142857
37084,[37214],Data bug,3,1,1.6
37117,[37513],Test bug,1,1,-0.6666666666666666
37141,[48169],Data bug,4,0,-0.2857142857142857
37154,[37337],Version compatibility bug,7,1,0.5714285714285714
37157,[37569],Algorithm design bug,2,1,-1.5
37182,[37307],Version compatibility bug,1,0,-0.5
37248,[37280],Test bug,4,0,0.0
37403,[38046],Processor bug,5,1,-0.06666666666666667
37490,[37869],Test bug,2,0,-0.3333333333333333
37499,[37642],Data bug,4,1,0.16666666666666666
37530,[38130],Deployment bug,5,0,-0.2857142857142857
37558,[39004],Test bug,1,0,-4.0
37584,[38796],Build bug,6,1,0.4090909090909091
37668,[39116],Deployment bug,3,1,-0.16
37672,[37785],Algorithm design bug,2,1,0.25
37725,[38904],Algorithm design bug,7,1,0.4
37819,[38003],Code bug,1,0,3.0
37844,[37881],Algorithm design bug,3,1,0.0
37996,[38025],Data bug,3,0,-1.0
38018,[38216],Processor bug,3,1,0.2
38024,[38178],Build bug,5,0,-0.05
38081,[38368],Deployment bug,2,0,1.0
38111,[38112],Build bug,1,0,3.0
38207,[38772],Deployment bug,4,1,1.8
38336,[38983],Deployment bug,1,1,0.0
38401,[38969],Deployment bug,1,0,1.6666666666666667
38410,[38947],Test bug,2,0,0.6
38479,[38741],Data bug,4,0,1.0
38555,39794,Deployment bug,2,1,0.6875
38605,[38615],Version compatibility bug,3,0,1.75
38607,[47262],Code bug,8,0,-0.21428571428571427
38731,[46601],Test bug,2,1,1.0
38771,[38943],Processor bug,1,1,0.0
38861,[38862],Build bug,1,0,1.0
38966,[39347],Memory bug,4,0,-0.5714285714285714
38986,38992,Processor bug,2,1,0.5
39210,[40348],Deployment bug,5,1,0.8461538461538461
39281,[39301],Data bug,3,1,-0.5
39327,[39334],Build bug,1,0,0.0
39461,[39475],Documentation bug,2,0,2.5
39520,[44562],Data bug,5,0,0.1
39620,[39622],Build bug,2,0,0.0
39694,[46878],Performance bug,1,1,0.0
39734,[39841],Build bug,4,0,0.5
39784,[51940],Algorithm design bug,4,1,0.08
39989,[39994],Build bug,1,0,1.0
40023,[41426],Processor bug,3,1,1.0
40032,[40545],Processor bug,5,1,0.2222222222222222
40083,[40491],Code bug,2,0,0.0
40118,[40132],Data bug,2,1,0.0
40131,40665,Algorithm design bug,1,1,0.0
40157,[40412],Documentation bug,5,0,0.6
40223,[40235],Documentation bug,2,0,1.0
40287,[40451],Data bug,5,0,0.5
40350,[41093],Deployment bug,2,0,3.0
40362,[42715],Algorithm design bug,4,0,0.6
40366,[40369],Build bug,2,0,0.0
40553,[41002],Data bug,4,1,0.35714285714285715
40560,[40991],Documentation bug,3,0,0.25
40580,[41698],Data bug,2,1,0.8
40771,[40897],Deployment bug,2,0,0.5
40986,[42360],Processor bug,2,1,0.0
41047,[41097],Data bug,2,1,-1.6666666666666667
41261,[46179],Test bug,3,0,0.5714285714285714
41306,[74521],Performance bug,8,1,0.6976744186046512
41340,[41824],Memory bug,4,1,-0.5
41393,[41397],Test bug,5,0,0.3125
41402,[41523],Test bug,1,0,3.0
41473,[41841],Processor bug,7,1,-0.13333333333333333
41592,[60976],Build bug,13,1,0.21875
41680,[42500],Visualization bug,2,0,-2.0
41767,[41819],Algorithm design bug,3,1,-0.5
41768,[46700],Data bug,4,1,1.5
41776,[42825],Data bug,5,1,2.0
41779,[48122],Algorithm design bug,2,1,0.6666666666666666
41780,[42550],Data bug,4,1,-0.2
41817,[43553],Data bug,2,1,0.6666666666666666
41865,[42341],Performance bug,5,0,0.5454545454545454
41882,42121,Deployment bug,3,1,0.0
41886,[42064],Build bug,3,0,2.7777777777777777
41966,[43668],Algorithm design bug,2,0,-0.75
42003,[49286],Documentation bug,4,0,2.2
42062,[47440],Data bug,2,0,1.0
