TextContent,TextType,url,Creator,CreatedAt,IssueID,RelatedPrID,IssueCategory,IsMPLF,CleanedTextContent,SentimentScore
"This seems like reasonable behavior to preserve, since we're unlikely to ever add any kind of checking to these ops (doing so is problematic due to numerical error) and we're unlikely to normalize due to speed.  Documentation contributions welcome!
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1234#issuecomment-193538287,girving,2016-03-08 01:07:33,1234,[1580],Documentation bug,0,"This seems like reasonable behavior to preserve, since we're unlikely to ever add any kind of checking to these ops (doing so is problematic due to numerical error) and we're unlikely to normalize due to speed. Documentation contributions welcome!",2
"The described convenient behavior has changed somewhere between versions 0.9 and 0.10.
The snippet with `sparse_softmax_cross_entropy_with_logits` now results in:

```
[array([ nan], dtype=float32), array([ nan], dtype=float32)]
```

Cross entropy for padding logits became `nan` instead of `0.0`. Looks like a breaking change: in my case forward pass is still okay (with masking), but gradients are now stuffed with `nan`s . It took some time to realize that new behavior is version dependent.

Versions with ""0"" behavior:
[linux/gpu/tensorflow-0.9.0-cp27-none-linux_x86_64.whl](https://storage.googleapis.com/tensorflow/linux/gpu/tensorflow-0.9.0-cp27-none-linux_x86_64.whl)

Versions with ""nan"" behavior:
[linux/gpu/tensorflow-0.10.0rc0-cp27-none-linux_x86_64.whl](https://storage.googleapis.com/tensorflow/linux/gpu/tensorflow-0.10.0rc0-cp27-none-linux_x86_64.whl)
[linux/gpu/tensorflow-0.10.0-cp27-none-linux_x86_64.whl](https://storage.googleapis.com/tensorflow/linux/gpu/tensorflow-0.10.0-cp27-none-linux_x86_64.whl)

Should we open a new issue or is this new behavior by design?
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1234#issuecomment-246196752,ivan-aksamentov,2016-09-11 18:48:27,1234,[1580],Documentation bug,0,"The described convenient behavior has changed somewhere between versions 0.9 and 0.10. The snippet with [code] now results in: ``[code]`[code]nan[code]0.0[code]nan`s . It took some time to realize that new behavior is version dependent. Versions with ""0"" behavior: [linux/gpu/tensorflow-0.9.0-cp27-none-linux_x86_64.whl]([url] Versions with ""nan"" behavior: [linux/gpu/tensorflow-0.10.0rc0-cp27-none-linux_x86_64.whl]([url] [linux/gpu/tensorflow-0.10.0-cp27-none-linux_x86_64.whl]([url] Should we open a new issue or is this new behavior by design?",0
"Can you open a new bug for this, explaining what behavior you think is correct?
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1234#issuecomment-246254204,ebrevdo,2016-09-12 05:39:04,1234,[1580],Documentation bug,0,"Can you open a new bug for this, explaining what behavior you think is correct?",0
"I let ivan create the bug issue but I confirm that the new behavior can cause some troubles. I am using `sparse_softmax_cross_entropy_with_logits` and, in my opinion, the best behavior would be to return a loss of _0.0_ and null gradients when the label is not in the range _[0, num_classes)_; never return _nan_.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1234#issuecomment-247547726,JulienB-78,2016-09-16 08:36:08,1234,[1580],Documentation bug,0,"I let ivan create the bug issue but I confirm that the new behavior can cause some troubles. I am using [code] and, in my opinion, the best behavior would be to return a loss of _0.0_ and null gradients when the label is not in the range _[0, num_classes)_; never return _nan_.",-2
"This is only going to get more strict.  Passing labels that are out of range is a sign of a hidden bug; one that may have model builders searching for a long time before figuring out the true problem.  Starting in a few days, this op will raise exceptions when passed invalid labels on CPU.  On GPU it will continue to return NaNs because we can't easily pass error flags back from the GPU.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/1234#issuecomment-248783238,ebrevdo,2016-09-22 00:45:06,1234,[1580],Documentation bug,0,"This is only going to get more strict. Passing labels that are out of range is a sign of a hidden bug; one that may have model builders searching for a long time before figuring out the true problem. Starting in a few days, this op will raise exceptions when passed invalid labels on CPU. On GPU it will continue to return NaNs because we can't easily pass error flags back from the GPU.",-3
"This is a question better suited for StackOverflow. Please ask it there and tag it with the `tensorflow` tag.""
",IssueComment,https://github.com/tensorflow/tensorflow/issues/4358#issuecomment-246829263,andydavis1,2016-09-13 21:23:27,4358,[4421],Documentation bug,0,"This is a question better suited for StackOverflow. Please ask it there and tag it with the [code] tag.""",0
"@andydavis1 Are you sure? I'm mainly pointing at a ""bug"" in the docs. I'm not asking for anything, my question was just to suggest a way of improving the docs.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/4358#issuecomment-246835094,danijar,2016-09-13 21:44:44,4358,[4421],Documentation bug,0,"@andydavis1 Are you sure? I'm mainly pointing at a ""bug"" in the docs. I'm not asking for anything, my question was just to suggest a way of improving the docs.",0
"Ah ok. I took that last sentence you wrote "" Do we have a better example illustrating preprocessing steps like data normalization, distorting images, etc?"". As a general question.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/4358#issuecomment-246838764,andydavis1,2016-09-13 21:58:14,4358,[4421],Documentation bug,0,"Ah ok. I took that last sentence you wrote "" Do we have a better example illustrating preprocessing steps like data normalization, distorting images, etc?"". As a general question.",0
"The folder holding the file referenced in the docs has, e.g. https://github.com/tensorflow/tensorflow/blob/r0.10/tensorflow/models/image/cifar10/cifar10_input.py, which does contain a `distorted_inputs` routine, is this what you're looking for? If so, then the easiest fix is just to change the link in the docs to point to the cifar10_input.py file instead of the cifar10.py file that imports it (line 47)
",IssueComment,https://github.com/tensorflow/tensorflow/issues/4358#issuecomment-247389137,ghost,2016-09-15 17:06:39,4358,[4421],Documentation bug,0,"The folder holding the file referenced in the docs has, e.g. [url] which does contain a [code] routine, is this what you're looking for? If so, then the easiest fix is just to change the link in the docs to point to the cifar10_input.py file instead of the cifar10.py file that imports it (line 47)",0
"Thanks. Yes, I think that would be suitable. Do you want to create a pull request? Otherwise, I can do that.
",IssueComment,https://github.com/tensorflow/tensorflow/issues/4358#issuecomment-247448027,danijar,2016-09-15 20:37:31,4358,[4421],Documentation bug,0,"Thanks. Yes, I think that would be suitable. Do you want to create a pull request? Otherwise, I can do that.",3
