TextContent,TextType,url,Creator,CreatedAt,IssueID,RelatedPrID,IssueCategory,IsMPLF,CleanedTextContent
i experience this too,IssueComment,https://github.com/apache/mxnet/issues/5685#issuecomment-291617209,freddycct,2017-04-04 20:09:35,5685,[5689],Build bug,0,i experience this too
any quickfix? i cannot continue when i cannot compile...,IssueComment,https://github.com/apache/mxnet/issues/5685#issuecomment-291664279,freddycct,2017-04-04 22:56:21,5685,[5689],Build bug,0,any quickfix? i cannot continue when i cannot compile...
"arange op is Fixed by #8268, but other operators that uses mshadow::range have this issue",IssueComment,https://github.com/apache/mxnet/issues/8303#issuecomment-337063409,eric-haibin-lin,2017-10-16 22:34:01,8303,[8398],Data bug,1,"arange op is Fixed by #8268, but other operators that uses mshadow::range have this issue"
"It should have been fixed by https://github.com/apache/incubator-mxnet/pull/9256
Keep this open since we haven't figured out why it was not caught by CI build.",IssueComment,https://github.com/apache/mxnet/issues/9229#issuecomment-354522418,yzhliu,2017-12-30 02:23:53,9229,[9256],Build bug,1,It should have been fixed by [url] Keep this open since we haven't figured out why it was not caught by CI build.
Verified that #9256 fixed the problem on my end,IssueComment,https://github.com/apache/mxnet/issues/9229#issuecomment-354522617,szha,2017-12-30 02:28:40,9229,[9256],Build bug,1,Verified that #9256 fixed the problem on my end
"I can confirm I can now build this on my Mac. Many thanks.
",IssueComment,https://github.com/apache/mxnet/issues/9229#issuecomment-354539339,helloniklas,2017-12-30 10:41:41,9229,[9256],Build bug,1,I can confirm I can now build this on my Mac. Many thanks.
Thanks @javelinjs for the quick turnaround.,IssueComment,https://github.com/apache/mxnet/issues/9229#issuecomment-354562031,szha,2017-12-30 18:48:02,9229,[9256],Build bug,1,Thanks @javelinjs for the quick turnaround.
"Thanks for reporting this, we will improve our documentation and support NDArray as the input.",IssueComment,https://github.com/apache/mxnet/issues/9865#issuecomment-368117301,sxjscience,2018-02-23 19:39:10,9865,[9930],Algorithm design bug,0,"Thanks for reporting this, we will improve our documentation and support NDArray as the input."
"I find this is actually a bug. The `pred` will be reshaped if it has ndim=1, see https://github.com/apache/incubator-mxnet/blob/master/python/mxnet/metric.py#L911-L912. In this case, the `pred` and the `label` have both shape (4,) and after reshaping, `pred.shape` will be changed to  (4,1). `pred - label` will then generate an array with shape (4, 4) and give the incorrect output.",IssueComment,https://github.com/apache/mxnet/issues/9865#issuecomment-368120147,sxjscience,2018-02-23 19:50:22,9865,[9930],Algorithm design bug,0,"I find this is actually a bug. The [code] will be reshaped if it has ndim=1, see [url]#L911-L912. In this case, the [code] and the [code] have both shape (4,) and after reshaping, [code] will be changed to (4,1). [code] will then generate an array with shape (4, 4) and give the incorrect output."
"This is a bug of `CopyFromTo` function. `a[0]` and `a[1]` share the same `var` and thus the copy is skipped.
https://github.com/apache/incubator-mxnet/blob/master/src/ndarray/ndarray.cc#L1131",IssueComment,https://github.com/apache/mxnet/issues/9976#issuecomment-370125976,reminisce,2018-03-03 07:12:24,9976,[9981],Data bug,1,This is a bug of [code] function. [code] and [code] share the same [code] and thus the copy is skipped. [url]#L1131
@reminisce Thank you! I will try to fix it.,IssueComment,https://github.com/apache/mxnet/issues/9976#issuecomment-370127367,wkcn,2018-03-03 07:40:33,9976,[9981],Data bug,1,@reminisce Thank you! I will try to fix it.
+1 for this. This is actually a very annoying bug.,IssueComment,https://github.com/apache/mxnet/issues/9405#issuecomment-365563721,tdomhan,2018-02-14 10:40:19,9405,[10094],Code bug,0,+1 for this. This is actually a very annoying bug.
@sandeep-krishnamurthy  : Please tag: Bug,IssueComment,https://github.com/apache/mxnet/issues/9405#issuecomment-369015334,rajanksin,2018-02-27 20:28:38,9405,[10094],Code bug,0,@sandeep-krishnamurthy : Please tag: Bug
"Facing the same problem. However, in Gluon, it cannot define a name",IssueComment,https://github.com/apache/mxnet/issues/9405#issuecomment-370181587,ShownX,2018-03-03 21:33:53,9405,[10094],Code bug,0,"Facing the same problem. However, in Gluon, it cannot define a name"
"Also the same error for row_sparse.tostype('row_sparse') 
We should fix this",IssueComment,https://github.com/apache/mxnet/issues/8524#issuecomment-341606082,eric-haibin-lin,2017-11-03 01:50:05,8524,[10400],Data bug,1,Also the same error for row_sparse.tostype('row_sparse') We should fix this
"Yes, I can work on this.",IssueComment,https://github.com/apache/mxnet/issues/8524#issuecomment-341619884,anirudh2290,2017-11-03 04:20:33,8524,[10400],Data bug,1,"Yes, I can work on this."
